interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
CCL5_CCR1,T cell CD8 terminally exhausted,T cell CD8 dividing,3,3.0,2.915552895590894,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.9718509651969646,I-II,2,0.24547997435762195,7,0.0,2,2,0.24547997435762195,0.7263709908393426
CCL5_CCR1,T cell NK-like,T cell CD8 dividing,3,3.0,2.9115565398172825,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.9705188466057608,I-II,2,0.24728116347712423,7,0.0,2,2,0.24728116347712423,0.7232376831286366
CCL5_CCR1,T cell CD8 dividing,T cell CD8 dividing,3,3.0,2.7144934246080568,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.904831141536019,I-II,2,0.22246157346883458,7,0.0,2,2,0.22246157346883458,0.6823695680671844
CCL5_CCR1,NK cell,T cell CD8 dividing,3,3.0,2.701047811327681,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.9003492704425603,I-II,2,0.22079351933493224,7,0.0,2,2,0.22079351933493224,0.679555751107628
CCL5_CCR1,T cell CD8 effector memory,T cell CD8 dividing,3,3.0,2.708214680808915,True,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.902738226936305,I-II,2,0.24061506389134665,7,0.0,2,2,0.24061506389134665,0.6621231630449583
HLA-E_CD94:NKG2C,B cell,T cell CD8 dividing,3,3.0,2.1828345455563536,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7276115151854512,I-II,2,0.31320778934988697,7,0.0,2,2,0.31320778934988697,0.41440372583556423
HLA-E_CD94:NKG2C,T cell regulatory,T cell CD8 dividing,3,3.0,2.20955518707267,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7365183956908901,I-II,2,0.33334336005001625,7,0.0,2,2,0.33334336005001625,0.4031750356408738
HLA-E_CD94:NKG2C,T cell NK-like,T cell CD8 dividing,3,3.0,2.213531695695485,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7378438985651616,I-II,2,0.34734124389691384,7,0.0,2,2,0.34734124389691384,0.3905026546682478
HLA-E_CD94:NKG2C,NK cell,T cell CD8 dividing,3,3.0,2.2172007279031463,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7390669093010488,I-II,2,0.34881589863280127,7,0.0,2,2,0.34881589863280127,0.3902510106682475
HLA-E_CD94:NKG2C,T cell CD8 terminally exhausted,T cell CD8 dividing,3,3.0,2.1506463376583285,False,False,Lambrechts_Thienpont_2018_6149v1;Lambrechts_Thienpont_2018_6149v2;Zuani_2024_NSCLC,1.0,0.7168821125527761,I-II,2,0.33348378842905707,7,0.0,2,2,0.33348378842905707,0.38339832412371905
